X Position,Y Position,GR Shear Correlation,DGQG Shear Correlation,Deviation from GR,Deviation from DGQG
2.0588235294117645,-5.0,1.4802029752438715e-08,1.4764730525213837e-08,-1.480202939031325e-08,-1.4764730163088372e-08
2.098039215686274,-5.0,1.3570261972677297e-08,1.3531317570772214e-08,-1.3570261709412906e-08,-1.3531317307507823e-08
2.137254901960784,-5.0,1.2420986445896932e-08,1.238240075952291e-08,-1.2420986294639544e-08,-1.2382400608265521e-08
2.1764705882352944,-5.0,1.1350772435041434e-08,1.1314198441973502e-08,-1.135077209281565e-08,-1.1314198099747718e-08
2.215686274509804,-5.0,1.035611332427437e-08,1.0322830694959601e-08,-1.0356113115501641e-08,-1.0322830486186873e-08
2.2549019607843137,-5.0,9.433455274359014e-09,9.404370493427678e-09,-9.433455011721939e-09,-9.404370230790602e-09
2.2941176470588234,-5.0,8.579223710364855e-09,8.554889027609484e-09,-8.579223644881469e-09,-8.554888962126099e-09
2.333333333333333,-5.0,7.789847586514893e-09,7.770494700991498e-09,-7.789847451481584e-09,-7.770494565958189e-09
2.3725490196078427,-5.0,7.0617814024705035e-09,7.047365672228028e-09,-7.0617807125488934e-09,-7.047364982306418e-09
2.4117647058823533,-5.0,6.391524972435569e-09,6.381776081168782e-09,-6.391523402573619e-09,-6.3817745113068325e-09
2.450980392156863,-5.0,5.775640972996053e-09,5.7701163207818065e-09,-5.7756393410102755e-09,-5.770114688796029e-09
2.4901960784313726,-5.0,5.210770317484089e-09,5.2089078825761056e-09,-5.210769638256153e-09,-5.20890720334817e-09
2.5294117647058822,-5.0,4.693645423820685e-09,4.694813415848926e-09,-4.693644766282241e-09,-4.6948127583104825e-09
2.568627450980392,-5.0,4.221101459236983e-09,4.224642705324276e-09,-4.221100815901714e-09,-4.2246420619890076e-09
2.6078431372549016,-5.0,3.790085659044588e-09,3.79535529326883e-09,-3.79008442682507e-09,-3.795354061049312e-09
2.6470588235294112,-5.0,3.3976648277922502e-09,3.404060457281806e-09,-3.397663437310671e-09,-3.4040590668002265e-09
2.686274509803922,-5.0,3.0410311398214186e-09,3.0480152102219747e-09,-3.041030268783781e-09,-3.048014339184337e-09
2.7254901960784315,-5.0,2.7175063625513546e-09,2.7246209208003667e-09,-2.7175061115768568e-09,-2.724620669825869e-09
2.764705882352941,-5.0,2.424544629945939e-09,2.431419068876144e-09,-2.424544315092676e-09,-2.431418754022881e-09
2.803921568627451,-5.0,2.15973389571496e-09,2.1660865550028864e-09,-2.1597334807546982e-09,-2.1660861400426247e-09
