Multipole Moment (l),White Hole Detection Ratio
2035.2905811623248,1.0006758066105496e-288
2041.2825651302608,1.2331826942261095e-290
2047.2745490981965,1.4980108061070747e-292
2053.2665330661325,1.7937256928800445e-294
2059.258517034068,2.1171455876410746e-296
2065.250501002004,2.463196645460349e-298
2071.24248496994,2.8248875480509213e-300
2077.234468937876,3.1934271705448973e-302
2083.2264529058116,3.5584977219418065e-304
2089.2184368737476,3.9086811426232594e-306
2095.2104208416836,4.232020505350761e-308
2101.2024048096196,4.5166095840962e-310
2107.194388777555,4.761066809513e-312
2113.186372745491,4.125743891e-314
2119.178356713427,0.0
2125.170340681363,0.0
2131.1623246492986,0.0
2137.1543086172346,0.0
2143.1462925851706,0.0
2149.138276553106,0.0
2155.130260521042,0.0
2161.122244488978,0.0
2167.114228456914,0.0
2173.1062124248497,0.0
2179.0981963927857,0.0
2185.0901803607217,0.0
2191.0821643286577,0.0
2197.074148296593,0.0
2203.066132264529,0.0
2209.058116232465,0.0
2215.050100200401,0.0
2221.0420841683367,0.0
2227.0340681362727,0.0
2233.0260521042087,0.0
2239.0180360721442,0.0
2245.0100200400802,0.0
2251.0020040080162,0.0
2256.993987975952,0.0
2262.9859719438878,0.0
2268.9779559118238,0.0
2274.9699398797597,0.0
2280.9619238476957,0.0
2286.9539078156313,0.0
2292.9458917835673,0.0
2298.9378757515033,0.0
2304.9298597194393,0.0
2310.921843687375,0.0
2316.913827655311,0.0
2322.905811623247,0.0
2328.8977955911823,0.0
2334.8897795591183,0.0
2340.8817635270543,0.0
2346.8737474949903,0.0
2352.865731462926,0.0
2358.857715430862,0.0
2364.849699398798,0.0
2370.841683366734,0.0
2376.8336673346694,0.0
2382.8256513026054,0.0
2388.8176352705414,0.0
2394.8096192384774,0.0
2400.801603206413,0.0
2406.793587174349,0.0
2412.785571142285,0.0
2418.7775551102204,0.0
2424.7695390781564,0.0
