Multipole Moment (l),White Hole B-mode Anisotropy,Inflationary B-mode Spectrum
2274.9699398797597,0.0,1.86686558749288e-10
2280.9619238476957,0.0,1.8501894628219703e-10
2286.9539078156313,0.0,1.8336939358861587e-10
2292.9458917835673,0.0,1.8173766658272896e-10
2298.9378757515033,0.0,1.8012353474718788e-10
2304.9298597194393,0.0,1.7852677107025794e-10
2310.921843687375,0.0,1.769471519842251e-10
2316.913827655311,0.0,1.753844573050325e-10
2322.905811623247,0.0,1.7383847017312086e-10
2328.8977955911823,0.0,1.7230897699544466e-10
2334.8897795591183,0.0,1.7079576738863743e-10
2340.8817635270543,0.0,1.6929863412330275e-10
2346.8737474949903,0.0,1.6781737306940327e-10
2352.865731462926,0.0,1.6635178314272585e-10
2358.857715430862,0.0,1.649016662523966e-10
2364.849699398798,0.0,1.6346682724942578e-10
2370.841683366734,0.0,1.620470738762568e-10
2376.8336673346694,0.0,1.6064221671729945e-10
2382.8256513026054,0.0,1.5925206915042447e-10
2388.8176352705414,0.0,1.5787644729940035e-10
2394.8096192384774,0.0,1.5651516998724933e-10
2400.801603206413,0.0,1.5516805869050465e-10
2406.793587174349,0.0,1.5383493749434844e-10
2412.785571142285,0.0,1.5251563304861267e-10
2418.7775551102204,0.0,1.5120997452462205e-10
2424.7695390781564,0.0,1.4991779357286308e-10
2430.7615230460924,0.0,1.486389242814612e-10
2436.7535070140284,0.0,1.4737320313544718e-10
2442.745490981964,0.0,1.4612046897679765e-10
2448.7374749499,0.0,1.448805629652323e-10
2454.729458917836,0.0,1.4365332853975282e-10
2460.721442885772,0.0,1.4243861138090575e-10
2466.7134268537075,0.0,1.412362593737564e-10
2472.7054108216435,0.0,1.4004612257155678e-10
2478.6973947895794,0.0,1.3886805316009462e-10
2484.689378757515,0.0,1.3770190542270786e-10
2490.681362725451,0.0,1.3654753570595113e-10
2496.673346693387,0.0,1.3540480238590135e-10
2502.665330661323,0.0,1.3427356583508766e-10
2508.6573146292585,0.0,1.3315368839003387e-10
2514.6492985971945,0.0,1.3204503431940017e-10
2520.6412825651305,0.0,1.309474697927123e-10
2526.6332665330665,0.0,1.2986086284966472e-10
2532.625250501002,0.0,1.2878508336998787e-10
2538.617234468938,0.0,1.2772000304386586e-10
2544.609218436874,0.0,1.26665495342895e-10
2550.60120240481,0.0,1.2562143549157153e-10
2556.5931863727455,0.0,1.2458770043929693e-10
2562.5851703406815,0.0,1.2356416883289112e-10
2568.5771543086175,0.0,1.225507209896041e-10
2574.569138276553,0.0,1.2154723887061344e-10
2580.561122244489,0.0,1.2055360605499972e-10
2586.553106212425,0.0,1.1956970771419066e-10
2592.545090180361,0.0,1.1859543058686233e-10
2598.5370741482966,0.0,1.1763066295429024e-10
2604.5290581162326,0.0,1.166752946161403e-10
2610.5210420841686,0.0,1.1572921686669169e-10
2616.5130260521046,0.0,1.1479232247148148e-10
2622.50501002004,0.0,1.1386450564436469e-10
2628.496993987976,0.0,1.1294566202497942e-10
2634.488977955912,0.0,1.1203568865661068e-10
2640.480961923848,0.0,1.1113448396444416e-10
2646.4729458917836,0.0,1.1024194773420229e-10
2652.4649298597196,0.0,1.0935798109115527e-10
2658.4569138276556,0.0,1.084824864794997e-10
2664.448897795591,0.0,1.0761536764209783e-10
2670.440881763527,0.0,1.0675652960056902e-10
2676.432865731463,0.0,1.0590587863572909e-10
2682.424849699399,0.0,1.0506332226836778e-10
2688.4168336673347,0.0,1.0422876924036045e-10
2694.4088176352707,0.0,1.0340212949610524e-10
2700.4008016032067,0.0,1.0258331416428116e-10
2706.3927855711427,0.0,1.0177223553992027e-10
2712.384769539078,0.0,1.0096880706678728e-10
2718.376753507014,0.0,1.0017294332006124e-10
2724.36873747495,0.0,9.938455998931422e-11
2730.360721442886,0.0,9.860357386177977e-11
2736.3527054108217,0.0,9.782990280590647e-11
2742.3446893787577,0.0,9.70634657551913e-11
2748.3366733466937,0.0,9.630418269228753e-11
2754.3286573146293,0.0,9.555197463338075e-11
2760.3206412825652,0.0,9.480676361282956e-11
2766.3126252505012,0.0,9.406847266806513e-11
2772.3046092184372,0.0,9.333702582474446e-11
2778.296593186373,0.0,9.261234808215315e-11
2784.2885771543088,0.0,9.189436539885267e-11
2790.2805611222448,0.0,9.118300467856776e-11
2796.2725450901808,0.0,9.047819375630902e-11
2802.2645290581163,0.0,8.977986138472686e-11
2808.2565130260523,0.0,8.908793722069187e-11
