,Time (s),Filtered Strain
405283,1187008881.3459473,-4.9157081436806886e-21
405284,1187008881.3461914,-5.043679026641661e-21
405285,1187008881.3464355,-4.255427998903053e-21
405304,1187008881.3510742,4.1211205815565915e-21
405305,1187008881.3513184,4.196447144142438e-21
405306,1187008881.3515625,3.5322655043476734e-21
405310,1187008881.352539,4.128960406911594e-21
405311,1187008881.3527832,5.7164666209399905e-21
405312,1187008881.353027,6.881958711584775e-21
405313,1187008881.3532715,7.172989474575757e-21
405314,1187008881.3535156,6.6328058002746515e-21
405315,1187008881.3537598,5.778434518398824e-21
405316,1187008881.354004,5.309533306451029e-21
405317,1187008881.354248,5.711303490412319e-21
405318,1187008881.3544922,6.975949540417337e-21
405319,1187008881.3547363,8.601410752929684e-21
405320,1187008881.3549805,9.869891549635316e-21
405321,1187008881.3552246,1.0250127603049062e-20
405322,1187008881.3554688,9.696301842583316e-21
405323,1187008881.355713,8.673889298443105e-21
405324,1187008881.355957,7.896659719802506e-21
405325,1187008881.3562012,7.922767544757901e-21
405326,1187008881.3564453,8.838421444738117e-21
405327,1187008881.3566897,1.0208849093602867e-20
405328,1187008881.3569336,1.1325185443992991e-20
405329,1187008881.3571775,1.1607837690566455e-20
405330,1187008881.357422,1.0937258113334764e-20
405331,1187008881.357666,9.723254114277212e-21
405332,1187008881.3579102,8.671848378618382e-21
405333,1187008881.3581543,8.380802303377328e-21
405334,1187008881.3583984,8.993499812650668e-21
405335,1187008881.3586426,1.0109410364128504e-20
405336,1187008881.3588867,1.100483460537433e-20
405337,1187008881.3591309,1.1041449713251503e-20
405338,1187008881.359375,1.0032186798722941e-20
405339,1187008881.3596191,8.355989875423205e-21
405340,1187008881.3598633,6.753472959786407e-21
405341,1187008881.3601074,5.915618378022581e-21
405342,1187008881.3603516,6.095681319260065e-21
405343,1187008881.3605957,6.963183872361878e-21
405344,1187008881.3608398,7.783911109639836e-21
405345,1187008881.361084,7.826769610214705e-21
405346,1187008881.361328,6.770359558423322e-21
405347,1187008881.3615725,4.881565078555113e-21
405357,1187008881.3640137,-4.496815110494825e-21
405358,1187008881.3642578,-5.1248379127745014e-21
405359,1187008881.364502,-4.9507849144165876e-21
405360,1187008881.364746,-4.588595789987656e-21
405361,1187008881.3649902,-4.781459852960829e-21
405362,1187008881.3652344,-5.9750633618367216e-21
405363,1187008881.3654785,-8.056651454507249e-21
405364,1187008881.365723,-1.0409264690196385e-20
405365,1187008881.3659668,-1.225236098987503e-20
405366,1187008881.366211,-1.3077585514644655e-20
405367,1187008881.366455,-1.2933729370830703e-20
405368,1187008881.3666992,-1.2399172511684188e-20
405369,1187008881.3669434,-1.2256038429607912e-20
405370,1187008881.3671875,-1.3048696166078554e-20
405371,1187008881.3674316,-1.4775019272999667e-20
405372,1187008881.3676758,-1.688463757974361e-20
405373,1187008881.36792,-1.8585873728148815e-20
405374,1187008881.368164,-1.928922260199335e-20
405375,1187008881.3684082,-1.8938022265538632e-20
405376,1187008881.3686523,-1.803998792278664e-20
405377,1187008881.3688965,-1.7381259212606708e-20
405378,1187008881.3691406,-1.7583178839717447e-20
405379,1187008881.3693848,-1.8750755910398256e-20
405380,1187008881.369629,-2.0410664420055157e-20
405381,1187008881.369873,-2.177424377000424e-20
405382,1187008881.3701172,-2.217842344022372e-20
405383,1187008881.370361,-2.1457314169562474e-20
405384,1187008881.3706057,-2.0035750300817943e-20
405385,1187008881.3708496,-1.8691843457609822e-20
405386,1187008881.3710938,-1.8121287390986816e-20
405387,1187008881.371338,-1.8547544890199958e-20
405388,1187008881.371582,-1.9596575529399262e-20
405389,1187008881.3718262,-2.050661789564233e-20
405390,1187008881.3720703,-2.0555733971519718e-20
405391,1187008881.3723145,-1.9467626443268712e-20
405392,1187008881.3725586,-1.7568154471044502e-20
405393,1187008881.3728027,-1.5604369783619667e-20
405394,1187008881.3730469,-1.4326774439768235e-20
405395,1187008881.373291,-1.4068201790044048e-20
405396,1187008881.3735352,-1.4555029707091222e-20
405397,1187008881.3737793,-1.5057032325423426e-20
405398,1187008881.3740234,-1.479329602859041e-20
405399,1187008881.3742676,-1.3368637637628047e-20
405400,1187008881.3745117,-1.0997560847920163e-20
405401,1187008881.374756,-8.390620743201991e-21
405402,1187008881.375,-6.365497464774543e-21
405403,1187008881.375244,-5.397860261304232e-21
405404,1187008881.3754883,-5.360433318893487e-21
405405,1187008881.3757324,-5.5942771192925214e-21
405406,1187008881.3759766,-5.272358664973401e-21
405407,1187008881.3762207,-3.854093064196281e-21
405410,1187008881.3769531,4.1363796995453815e-21
405411,1187008881.3771973,5.776420640223896e-21
405412,1187008881.3774414,6.4423436982393026e-21
405413,1187008881.3776855,6.6671169359977985e-21
405414,1187008881.3779297,7.249630037060302e-21
405415,1187008881.3781738,8.807313427808431e-21
405416,1187008881.378418,1.1430658856477916e-20
405417,1187008881.378662,1.4632022984734447e-20
405418,1187008881.3789062,1.7618227251638517e-20
405419,1187008881.3791504,1.9736916229700583e-20
405420,1187008881.3793943,2.0849282342503302e-20
405421,1187008881.379639,2.142031435071869e-20
405422,1187008881.3798828,2.2271368639157168e-20
405423,1187008881.380127,2.4124809126832543e-20
405424,1187008881.380371,2.718584648630462e-20
405425,1187008881.3806152,3.098957051803841e-20
405426,1187008881.3808594,3.460054515172549e-20
405427,1187008881.3811035,3.706408622918793e-20
405428,1187008881.3813477,3.7873853088333214e-20
405429,1187008881.3815918,3.721173843721559e-20
405430,1187008881.381836,3.5837343327355813e-20
405431,1187008881.38208,3.4689874204608084e-20
405432,1187008881.3823242,3.4415326674347246e-20
405433,1187008881.3825684,3.506636978917223e-20
405434,1187008881.3828125,3.612426521377535e-20
405435,1187008881.3830566,3.681605851995207e-20
405436,1187008881.3833008,3.654259023371748e-20
405437,1187008881.383545,3.51791747007398e-20
405438,1187008881.383789,3.308911889562405e-20
405439,1187008881.3840332,3.085587316917733e-20
405440,1187008881.384277,2.8899710402716613e-20
405441,1187008881.3845215,2.720967835617217e-20
405442,1187008881.3847656,2.5354181173558332e-20
405443,1187008881.3850098,2.2770643699022827e-20
405444,1187008881.385254,1.916719270302608e-20
405445,1187008881.385498,1.479258358919026e-20
405446,1187008881.3857422,1.039186358362836e-20
405447,1187008881.3859863,6.836179745187219e-21
405448,1187008881.3862305,4.6054113476197366e-21
405452,1187008881.387207,-5.729742220322501e-21
405453,1187008881.3874512,-1.3515673673349607e-20
405454,1187008881.3876953,-2.2672127693845954e-20
405455,1187008881.3879397,-3.1016267226876316e-20
405456,1187008881.3881836,-3.614934490814744e-20
405457,1187008881.3884275,-3.6379517139672837e-20
405458,1187008881.388672,-3.141203590833117e-20
405459,1187008881.388916,-2.2507177379740582e-20
405460,1187008881.3891602,-1.2039925333757751e-20
405462,1187008881.3896484,3.613651376888125e-21
405463,1187008881.3898926,5.930182284791279e-21
405464,1187008881.3901367,4.7130827815892845e-21
405467,1187008881.3908691,-6.642627563002743e-21
405468,1187008881.3911133,-9.26165894539848e-21
405469,1187008881.3913574,-1.0770346677566172e-20
405470,1187008881.3916016,-1.1471578496380051e-20
405471,1187008881.3918457,-1.1723330496699588e-20
405472,1187008881.3920898,-1.1777073637269056e-20
405473,1187008881.392334,-1.1768231655795804e-20
405474,1187008881.392578,-1.1797146712175424e-20
405475,1187008881.3928225,-1.1998058100458263e-20
405476,1187008881.3930664,-1.2526759293146004e-20
405477,1187008881.3933103,-1.3472850608331264e-20
405478,1187008881.3935547,-1.476589123664167e-20
405479,1187008881.3937988,-1.6155158155531538e-20
405480,1187008881.394043,-1.7295957498844415e-20
405481,1187008881.394287,-1.7904224883676172e-20
405482,1187008881.3945312,-1.7892662295534034e-20
405483,1187008881.3947754,-1.740747620635162e-20
405484,1187008881.3950195,-1.6741752426258652e-20
405485,1187008881.3952637,-1.6174489712331202e-20
405486,1187008881.3955078,-1.5828381591052464e-20
405487,1187008881.395752,-1.5627530706739822e-20
405488,1187008881.395996,-1.5375597242816372e-20
405489,1187008881.3962402,-1.4902280244809616e-20
405490,1187008881.3964844,-1.4185540390687303e-20
405491,1187008881.3967285,-1.3373105923596455e-20
405492,1187008881.396973,-1.2689723958747812e-20
405493,1187008881.3972168,-1.2288073798305227e-20
405494,1187008881.397461,-1.2137658562366056e-20
405495,1187008881.397705,-1.2024734088847808e-20
405496,1187008881.3979492,-1.1669549341945003e-20
405497,1187008881.3981934,-1.0894670521303118e-20
405498,1187008881.3984375,-9.743791023359847e-21
405499,1187008881.3986816,-8.475887084234492e-21
405500,1187008881.3989258,-7.431184421554264e-21
405501,1187008881.39917,-6.84171168965359e-21
405502,1187008881.399414,-6.6950893794517434e-21
405503,1187008881.3996582,-6.733304284456271e-21
405504,1187008881.3999023,-6.59253169313716e-21
405505,1187008881.4001465,-6.008406504824576e-21
405506,1187008881.4003906,-4.970799507256128e-21
405507,1187008881.4006348,-3.737563194037745e-21
405523,1187008881.404541,3.767926863860692e-21
405524,1187008881.4047852,5.044865359431679e-21
405525,1187008881.4050293,5.942938037334386e-21
405526,1187008881.4052734,6.197000978607052e-21
405527,1187008881.4055176,5.884388050880194e-21
405528,1187008881.4057617,5.380450942993692e-21
405529,1187008881.406006,5.151204605633168e-21
405530,1187008881.40625,5.4963886311371025e-21
405531,1187008881.406494,6.383653593188633e-21
405532,1187008881.4067383,7.465043654957385e-21
405533,1187008881.4069824,8.267353827673731e-21
405534,1187008881.4072266,8.452618039412871e-21
405535,1187008881.4074707,8.006100308352068e-21
405536,1187008881.4077148,7.248220829015712e-21
405537,1187008881.407959,6.6628222864356126e-21
405538,1187008881.4082031,6.63479999559555e-21
405539,1187008881.4084473,7.240291734252901e-21
405540,1187008881.4086914,8.204570743526897e-21
405541,1187008881.4089355,9.051438717356384e-21
405542,1187008881.4091797,9.363027827751874e-21
405543,1187008881.4094238,9.008002765753488e-21
405544,1187008881.409668,8.212917802497031e-21
405545,1187008881.409912,7.43713940925465e-21
405546,1187008881.4101562,7.119566294028732e-21
405547,1187008881.4104004,7.436182436127432e-21
405548,1187008881.4106443,8.202102446771305e-21
405549,1187008881.410889,8.972738438109591e-21
405550,1187008881.4111328,9.289140737498488e-21
405551,1187008881.411377,8.932680369552356e-21
405552,1187008881.411621,8.048326695891227e-21
405553,1187008881.4118652,7.067570518683237e-21
405554,1187008881.4121094,6.472384137434889e-21
405555,1187008881.4123535,6.529762708037954e-21
405556,1187008881.4125977,7.143474369477027e-21
405557,1187008881.4128418,7.905719369360677e-21
405558,1187008881.413086,8.321241359789722e-21
405559,1187008881.41333,8.08069138619089e-21
405560,1187008881.4135742,7.231909256731185e-21
405561,1187008881.4138184,6.1534582715774354e-21
405562,1187008881.4140625,5.344056746144065e-21
405563,1187008881.4143066,5.1441947070769435e-21
405564,1187008881.4145508,5.544971303714108e-21
405565,1187008881.414795,6.191778016852939e-21
405566,1187008881.415039,6.582438758267099e-21
405567,1187008881.4152832,6.350495186247416e-21
405568,1187008881.415527,5.4753969456415775e-21
405569,1187008881.4157715,4.3004911906697415e-21
405573,1187008881.416748,4.111310077949916e-21
405574,1187008881.4169922,4.6657792395537425e-21
405575,1187008881.4172363,4.587964228370217e-21
405576,1187008881.4174805,3.756028461098776e-21
405595,1187008881.4221191,-3.507215559106059e-21
405596,1187008881.4223633,-3.682284789016906e-21
405602,1187008881.423828,-4.5548448867849085e-21
405603,1187008881.4240725,-5.414552084876869e-21
405604,1187008881.4243164,-5.5666521946368466e-21
405605,1187008881.4245603,-5.018285252030593e-21
405606,1187008881.4248047,-4.174481680780117e-21
