Frequency (Hz),White Hole SGWB,LISA Sensitivity
13.250872919979539,0.0,1.7658563314150434e-38
13.622867641416468,0.0,1.8658252277560604e-38
14.005305453932197,0.0,1.9714858085799417e-38
14.398479528760065,0.0,2.0831621274017113e-38
14.802691267395101,0.0,2.20119668757861e-38
15.21825053264387,0.0,2.325951492743588e-38
15.645475886160959,0.0,2.457809157044851e-38
16.08469483265355,0.0,2.5971740785963067e-38
16.536244070941823,0.0,2.744473679737953e-38
17.00046975206718,0.0,2.900159717909858e-38
17.47772774464681,0.0,3.064709671160297e-38
17.968383907677193,0.0,3.2386282025370373e-38
18.472814370996357,0.0,3.422448707853189e-38
18.991405823619353,0.0,3.6167349515743086e-38
