Frequency (Hz),White Hole B-mode Correlation,Inflationary B-mode Correlation,Cross-Correlation (WH),Cross-Correlation (Inflation)
0.02337423870891815,2.3938187240265365e-56,9.32561504687902e-55,3.2346311350241754e-75,1.2601173380892322e-73
0.024030428944069697,2.5416193179762104e-57,1.0179367070583702e-55,3.085389190804104e-76,1.2357204285736451e-74
0.024705040554568253,2.5378273513788726e-58,1.0449521272717934e-56,2.7626600179199534e-77,1.1375271296866121e-75
0.025398590687807265,2.3790157916624536e-59,1.0070608055377404e-57,2.3179609856793345e-78,9.812157050929283e-77
0.026111611009174595,2.0900014711352603e-60,9.095550903814426e-59,1.8190860259081493e-79,7.916544450123148e-78
0.026844648109619625,1.7175864413013272e-61,7.684667269097998e-60,1.3327656165465056e-80,5.9629373314652e-79
0.027598263924661803,1.3179528505414452e-62,6.0622017682505255e-61,9.098501259512347e-82,4.185047317981493e-80
0.028373036165162114,9.424408051275554e-64,4.456651174568105e-62,5.7761713007442336e-83,2.7314586202031274e-81
0.02916955876018796,6.2678908692467766e-65,3.0471935168823246e-63,3.403132042496103e-84,1.654464334704476e-82
0.02998844231231028,3.869171410653783e-66,1.9338403940805196e-64,1.85684482237521e-85,9.280647306451837e-84
0.030830314565682772,2.2122538532779263e-67,1.1367413699283714e-65,9.362557147356192e-87,4.810843033202883e-85
0.03169582088726115,1.1690635833163242e-68,6.175738323768987e-67,4.35284416694e-88,2.299449484424829e-86
0.03258562476153226,5.697272526268257e-70,3.0941530784194068e-68,1.861753667622417e-89,1.0111067735258425e-87
0.033500408299131326,2.5546657742705706e-71,1.4263724417646763e-69,7.308440188559144e-91,4.080595505775195e-89
0.034440872759738235,1.0515362314762364e-72,6.035970925087953e-71,2.6268478819411894e-92,1.5078488943520734e-90
0.035407739089652696,3.963636073312238e-74,2.3390565321695885e-72,8.623387693539629e-94,5.0889110253628876e-92
0.03640174847446141,1.3648021778294073e-75,8.280197599123873e-74,2.5789830928601126e-95,1.5646582311030397e-93
0.03742366290721981,4.282022518893259e-77,2.670816121803094e-75,7.008264480385135e-97,4.371248791309589e-95
0.03847426577258506,1.2209487287960909e-78,7.829184314400113e-77,1.7258211553101805e-98,1.1066616967558946e-96
0.039554362447347016,3.155362391711383e-80,2.0801391282413296e-78,3.8406393875839415e-100,2.531900706100868e-98
0.04066478091781858,7.370649638637534e-82,4.9954308796199006e-80,7.701922081073363e-102,5.219949567882629e-100
0.04180637241455758,1.5517963024539296e-83,1.0812495688653737e-81,1.387756610655987e-103,9.669511614308065e-102
0.04298001206490798,2.936088916115823e-85,2.103218950638345e-83,2.239964838421606e-105,1.6045619296721717e-103
0.04418659956385941,4.977448764171309e-87,3.665608923201075e-85,3.22880111401742e-107,2.3778290316071818e-105
