Frequency (Hz),White Hole Total SGWB,White Hole Polarized SGWB,Binary Black Hole Total SGWB,Binary Black Hole Polarized SGWB
0.01137921293915315,2.640211537403654e-17,7.920634612210962e-18,4.1224182215320345e-17,4.122418221532035e-18
0.01169866413101307,2.453178011922916e-17,7.359534035768747e-18,3.982898348847602e-17,3.982898348847602e-18
0.012027083347685121,2.2773507581199732e-17,6.832052274359919e-18,3.8463753059308067e-17,3.846375305930807e-18
0.01236472235053715,2.11217733561812e-17,6.33653200685436e-18,3.7128199408627343e-17,3.712819940862734e-18
0.012711839968690289,1.9571277707564666e-17,5.8713833122694e-18,3.5822038190572915e-17,3.582203819057291e-18
0.013068702297433463,1.811693696466591e-17,5.4350810893997734e-18,3.4544991764797004e-17,3.4544991764797005e-18
0.013435582902208263,1.675387531009013e-17,5.0261625930270394e-18,3.329678871580953e-17,3.329678871580953e-18
0.013812763028320095,1.5477416939127215e-17,4.643225081738164e-18,3.2077163359538764e-17,3.2077163359538764e-18
0.014200531816536832,1.4283078575040248e-17,4.284923572512075e-18,3.0885855237246086e-17,3.088585523724609e-18
0.014599186524739786,1.3166562324519458e-17,3.9499686973558374e-18,2.9722608597028035e-17,2.9722608597028038e-18
0.015009032755797366,1.2123748857949427e-17,3.637124657384828e-18,2.858717186323539e-17,2.8587171863235388e-18
0.015430384691835646,1.115069089949531e-17,3.345207269848593e-18,2.7479297094248418e-17,2.747929709424842e-18
0.015863565335085896,1.0243607012344374e-17,3.073082103703312e-18,2.63987394291586e-17,2.63987394291586e-18
0.016308906755493326,9.398875664755992e-18,2.8196626994267974e-18,2.5345256524030664e-17,2.5345256524030664e-18
0.01676675034527699,8.613029562870501e-18,2.58390886886115e-18,2.4318607978545518e-17,2.431860797854552e-18
0.0172374470806362,7.882750236513395e-18,2.3648250709540183e-18,2.331855475395969e-17,2.3318554753959692e-18
0.017721357790803586,7.2048628645084e-18,2.16145885935252e-18,2.2344858583459605e-17,2.2344858583459608e-18
0.01821885343465167,6.5763313262812995e-18,1.9728993978843898e-18,2.1397281376134384e-17,2.1397281376134385e-18
0.018730315385064367,5.994253466804787e-18,1.798276040041436e-18,2.0475584615946238e-17,2.047558461594624e-18
0.019256135721291985,5.4558565622002395e-18,1.6367569686600718e-18,1.9579528757232752e-17,1.9579528757232753e-18
0.019796717529513324,4.958492973584789e-18,1.4875478920754367e-18,1.8708872618439203e-17,1.8708872618439205e-18
0.020352475211835776,4.499635977029241e-18,1.3498907931087722e-18,1.7863372775941787e-17,1.7863372775941786e-18
0.020923834803969768,4.076875757782896e-18,1.2230627273348687e-18,1.7042782959990713e-17,1.7042782959990715e-18
0.021511234301821672,3.68791555722363e-18,1.1063746671670889e-18,1.6246853454967564e-17,1.6246853454967565e-18
0.02211512399725489,3.3305679613139088e-18,9.991703883941726e-19,1.5475330506319267e-17,1.5475330506319268e-18
0.022735966823277175,3.0027513196838665e-18,9.008253959051599e-19,1.472795573669283e-17,1.4727955736692831e-18
0.02337423870891815,2.7024862848289075e-18,8.107458854486722e-19,1.400446557395646e-17,1.400446557395646e-18
0.024030428944069697,2.4278924612997318e-18,7.283677383899196e-19,1.3304590693944188e-17,1.330459069394419e-18
0.024705040554568253,2.177185155183171e-18,6.531555465549513e-19,1.2628055480907769e-17,1.2628055480907769e-18
0.025398590687807265,1.9486722146216152e-18,5.846016643864846e-19,1.1974577508792592e-17,1.1974577508792592e-18
0.026111611009174595,1.740750952601049e-18,5.222252857803147e-19,1.1343867046577455e-17,1.1343867046577456e-18
0.026844648109619625,1.5519051437512948e-18,4.655715431253885e-19,1.0735626591022457e-17,1.0735626591022458e-18
0.027598263924661803,1.3807020874494066e-18,4.1421062623482197e-19,1.0149550430258407e-17,1.0149550430258408e-18
0.028373036165162114,1.2257897300960888e-18,3.677369190288266e-19,9.585324241717203e-18,9.585324241717203e-19
0.02916955876018796,1.0858938400454514e-18,3.257681520136354e-19,9.042624727945564e-18,9.042624727945565e-19
0.02998844231231028,9.598152293084656e-19,2.8794456879253966e-19,8.521119293861591e-18,8.521119293861591e-19
0.030830314565682772,8.464270168166791e-19,2.539281050450037e-19,8.020465768999073e-18,8.020465768999074e-19
0.03169582088726115,7.446719287230095e-19,2.2340157861690285e-19,7.540312178239977e-18,7.540312178239978e-19
0.03258562476153226,6.535596319250941e-19,1.9606788957752822e-19,7.080296564453247e-18,7.080296564453248e-19
0.033500408299131326,5.721640977200558e-19,1.7164922931601675e-19,6.640046866340398e-18,6.640046866340399e-19
0.034440872759738235,4.996209932307127e-19,1.4988629796921381e-19,6.219180854627989e-18,6.21918085462799e-19
0.035407739089652696,4.351250989767806e-19,1.3053752969303417e-19,5.8173061295466146e-18,5.817306129546615e-19
0.03640174847446141,3.7792775169244653e-19,1.1337832550773395e-19,5.434020182288943e-18,5.434020182288944e-19
0.03742366290721981,3.273343122070505e-19,9.820029366211514e-20,5.0689105228488464e-18,5.068910522848846e-19
0.03847426577258506,2.827016588996191e-19,8.481049766988573e-20,4.721554876304093e-18,4.721554876304093e-19
0.039554362447347016,2.434357079030078e-19,7.303071237090233e-20,4.39152144922073e-18,4.39152144922073e-19
0.04066478091781858,2.0898896186027547e-19,6.269668855808264e-20,4.0783692674238764e-18,4.0783692674238764e-19
0.04180637241455758,1.7885808961671852e-19,5.3657426885015555e-20,3.781648585902141e-18,3.781648585902141e-19
0.04298001206490798,1.5258153975696858e-19,4.5774461927090576e-20,3.500901371089335e-18,3.500901371089335e-19
0.04418659956385941,1.2973719136032052e-19,3.892115740809615e-20,3.2356618552035082e-18,3.2356618552035086e-19
