Frequency (Hz),Total SGWB,Polarized SGWB
1.3685874245025176,2.283465929028823e-79,6.850397787086468e-80
1.4070080856026863,4.698620326846681e-81,1.4095860980540043e-81
1.4465073385216471,8.679676178739313e-83,2.603902853621794e-83
1.4871154628089538,1.435089612199041e-84,4.305268836597123e-85
1.5288635880587296,2.1171172274408322e-86,6.351351682322496e-87
1.571783717773161,2.7778659488980346e-88,8.333597846694104e-89
1.6159087538959191,3.231091388983171e-90,9.693274166949512e-91
1.661272522034293,3.320395003414565e-92,9.961185010243693e-93
1.7079097973894268,3.0041564478893336e-94,9.012469343668001e-95
1.7558563314144668,2.38448699562757e-96,7.15346098688271e-97
1.8051488792211101,1.6542865354890935e-98,4.96285960646728e-99
1.8558252277555187,9.993757561120172e-101,2.9981272683360514e-101
1.907924224765265,5.236752468807939e-103,1.5710257406423816e-103
1.9614858085794296,2.3706964246825927e-105,7.112089274047778e-106
2.0165510387247485,9.233945626383112e-108,2.7701836879149334e-108
2.0731621274012313,3.081505151401174e-110,9.244515454203522e-111
2.1313624718414372,8.772391035420529e-113,2.6317173106261586e-113
2.1911966875781475,2.1208743410949357e-115,6.362623023284807e-116
2.2527106426459826,4.3347269028022865e-118,1.3004180708406858e-118
2.3159514927431544,7.4543614338431965e-121,2.2363084301529587e-121
2.3809677173803583,1.0733852291609674e-123,3.2201556874829024e-124
2.44780915704444,1.2877533895223173e-126,3.8632601685669515e-127
2.516527051405389,1.280608548695336e-129,3.841825646086008e-130
2.5871740785959236,1.050071610890968e-132,3.150214832672904e-133
2.6598043955937585,7.061358421892805e-136,2.1184075265678414e-136
2.73447367973758,3.872633311035248e-139,1.1617899933105743e-139
2.8112391714084612,1.722214975510937e-142,5.166644926532811e-143
2.8901597179095115,6.174126220989566e-146,1.8522378662968695e-146
2.9712958185773344,1.773549651495526e-149,5.320648954486578e-150
3.054709671159968,4.0568569113421555e-153,1.2170570734026467e-153
3.1404652194967486,7.342390431488841e-157,2.2027171294466523e-157
3.2286282025367337,1.0445559277721789e-160,3.1336677833165364e-161
3.31926620473319,1.1602116055676423e-164,3.480634816702927e-165
3.412448707852889,9.991632265157926e-169,2.9974896795473774e-169
3.5082471442397885,6.624103961628919e-173,1.9872311884886757e-173
3.6067349515740315,3.355984464244365e-177,1.0067953392733093e-177
3.7079876291681724,1.289543372692669e-181,3.8686301180780074e-182
3.812082795843888,3.729101752371241e-186,1.1187305257113724e-186
3.919100249433402,8.05117386677563e-191,2.415352160032689e-191
4.0291220279513515,1.2871762068283355e-195,3.861528620485006e-196
4.142232472483898,1.5110461914535357e-200,4.5331385743606066e-201
4.258518291843414,1.2912570368876278e-205,3.873771110662883e-206
4.378068629038166,7.961070205461304e-211,2.388321061638391e-211
4.500975129608042,3.508923361705724e-216,1.0526770085117171e-216
4.627332011878693,1.0952875186569695e-221,3.2858625559709085e-222
4.7572361391878895,2.3978803008262688e-227,7.193640902478806e-228
4.89078709413959,3.645416448945222e-233,1.0936249346835665e-233
5.028087254942474,3.8092621077142622e-239,1.1427786323142786e-239
5.169241873891604,2.7073074228301703e-245,8.121922268490511e-246
