Frequency (Hz),SGWB Anisotropy,CMB B-mode Correlation,Cross-Correlation
0.01821885343465167,3.28816566314065e-19,1.1447448920898232e-48,3.764110847225405e-67
0.018730315385064367,2.997126733402394e-19,1.9689904464375537e-49,5.9013139048319064e-68
0.019256135721291985,2.72792828110012e-19,3.22843919393277e-50,8.806950580941278e-69
0.019796717529513324,2.4792464867923944e-19,5.039322977511989e-51,1.2493723787808786e-69
0.020352475211835776,2.24981798851462e-19,7.477948133457005e-52,1.6824022227830898e-70
0.020923834803969768,2.038437878891448e-19,1.0534322882497526e-52,2.1473562792155902e-71
0.021511234301821672,1.843957778611815e-19,1.4067297130407641e-53,2.5939501967658834e-72
0.02211512399725489,1.6652839806569545e-19,1.7780447612217402e-54,2.9609494577535836e-73
0.022735966823277175,1.5013756598419334e-19,2.123892585411641e-55,3.1887606318557924e-74
0.02337423870891815,1.3512431424144539e-19,2.3938187240265365e-56,3.2346311350241754e-75
0.024030428944069697,1.2139462306498659e-19,2.5416193179762104e-57,3.085389190804104e-76
0.024705040554568253,1.0885925775915855e-19,2.5378273513788726e-58,2.7626600179199534e-77
0.025398590687807265,9.743361073108077e-20,2.3790157916624536e-59,2.3179609856793345e-78
0.026111611009174595,8.703754763005246e-20,2.0900014711352603e-60,1.8190860259081493e-79
0.026844648109619625,7.759525718756475e-20,1.7175864413013272e-61,1.3327656165465056e-80
0.027598263924661803,6.903510437247034e-20,1.3179528505414452e-62,9.098501259512347e-82
0.028373036165162114,6.128948650480444e-20,9.424408051275554e-64,5.7761713007442336e-83
0.02916955876018796,5.429469200227258e-20,6.2678908692467766e-65,3.403132042496103e-84
0.02998844231231028,4.799076146542328e-20,3.869171410653783e-66,1.85684482237521e-85
0.030830314565682772,4.2321350840833956e-20,2.2122538532779263e-67,9.362557147356192e-87
0.03169582088726115,3.723359643615048e-20,1.1690635833163242e-68,4.35284416694e-88
0.03258562476153226,3.267798159625471e-20,5.697272526268257e-70,1.861753667622417e-89
0.033500408299131326,2.860820488600279e-20,2.5546657742705706e-71,7.308440188559144e-91
0.034440872759738235,2.4981049661535636e-20,1.0515362314762364e-72,2.6268478819411894e-92
0.035407739089652696,2.1756254948839032e-20,3.963636073312238e-74,8.623387693539629e-94
0.03640174847446141,1.8896387584622328e-20,1.3648021778294073e-75,2.5789830928601126e-95
0.03742366290721981,1.6366715610352526e-20,4.282022518893259e-77,7.008264480385135e-97
0.03847426577258506,1.4135082944980957e-20,1.2209487287960909e-78,1.7258211553101805e-98
0.039554362447347016,1.217178539515039e-20,3.155362391711383e-80,3.8406393875839415e-100
0.04066478091781858,1.0449448093013774e-20,7.370649638637534e-82,7.701922081073363e-102
0.04180637241455758,8.942904480835926e-21,1.5517963024539296e-83,1.387756610655987e-103
0.04298001206490798,7.629076987848429e-21,2.936088916115823e-85,2.239964838421606e-105
0.04418659956385941,6.4868595680160264e-21,4.977448764171309e-87,3.22880111401742e-107
0.04542705986374043,5.49700228706755e-21,7.537173130390778e-89,4.143185793578219e-109
0.04670234388327335,4.641998163043517e-21,1.0162432794162993e-90,4.717399436255781e-111
0.048013429236534504,3.905972476431797e-21,1.2160715910718074e-92,4.749942164097103e-113
0.049361320982379164,3.2745747735018813e-21,1.2871758670068963e-94,4.214953623161196e-115
0.05074705239490466,2.734873789562734e-21,1.200986446483846e-96,3.284546354108757e-117
0.05217168575554349,2.2752555174929142e-21,9.842875364521893e-99,2.2395056481123517e-119
0.053636313167392397,1.885324641044511e-21,7.060062509983013e-101,1.3310509817385534e-121
0.05514205739240302,1.5558095422015586e-21,4.415424094335102e-103,6.869558938833227e-124
0.05669007271207434,1.278471077471786e-21,2.3985160165152872e-105,3.066433355967635e-126
0.058281545812308454,1.0460152996776129e-21,1.127200678714197e-107,1.1790691557420395e-128
0.05991769669310619,8.520102799498482e-22,4.564383727927896e-110,3.8889018578303785e-131
0.06159977960380169,6.908071596455859e-22,1.5858774781304737e-112,1.0955355162132172e-133
0.06332908400455114,5.574655343166373e-22,4.707572379457833e-115,2.6243093518487046e-136
0.06510693555481462,4.476832422045773e-22,1.188625884185288e-117,5.321278896003521e-139
0.0669346971295866,3.5773059864114006e-22,2.5412137706493087e-120,9.09069923449486e-142
0.0688137698641567,2.8438908582282247e-22,4.57885303912581e-123,1.3021758299140415e-144
0.07074559422819879,2.248944753582473e-22,6.92000493647633e-126,1.5562708796653255e-147
0.07273165113001454,1.7688432940255125e-22,8.728637629155881e-129,1.543959213631113e-150
0.07477346305177587,1.383497957236955e-22,9.142666233895597e-132,1.2648860058293842e-153
0.07687259521663728,1.0759158328091351e-22,7.910787452871285e-135,8.511341470532066e-157
0.07903065678861347,8.317997837352118e-23,5.624157990507984e-138,4.6781734001972045e-160
0.08124930210614047,6.391873760859121e-23,3.267317610662976e-141,2.0884281703989594e-163
