Time (s),Observed Photon Flux,Approx. Photon Energy (MeV),Predicted Time Delay (s)
171.40879999999999,4.17223456e-09,0.00417223456,5.7175821281001e-07
172.00529999999998,3.552189004e-09,0.0035521890040000003,5.737479226378669e-07
172.57780000000002,3.77911444e-09,0.0037791144399999996,5.756575770828766e-07
173.2095,3.477333596e-09,0.003477333596,5.777647014722432e-07
173.77210000000002,3.454868572e-09,0.003454868572,5.79641333071828e-07
174.37630000000001,3.70375636e-09,0.0037037563599999998,5.816567273350152e-07
175.0213,4.0248826e-09,0.004024882600000001,5.838082157490433e-07
175.6223,3.3852574e-09,0.0033852574,5.858129359611842e-07
176.2794,3.8377512e-09,0.0038377512000000004,5.880047856307312e-07
176.93669999999997,3.542891352e-09,0.0035428913519999997,5.901973024284686e-07
177.541,4.11505028e-09,0.00411505028,5.922130302557511e-07
178.20999999999998,3.67242836e-09,0.00367242836,5.944445740526267e-07
178.88760000000002,3.4444424e-09,0.0034444424,5.967048043616895e-07
179.46120000000002,3.094486924e-09,0.003094486924,5.986181280117461e-07
180.0618,2.81814762e-09,0.00281814762,6.006215139675061e-07
180.6922,3.65462836e-09,0.00365462836,6.027243020236353e-07
181.3748,3.437652056e-09,0.003437652056,6.050012105374578e-07
182.0625,3.543092136e-09,0.0035430921359999997,6.072951308201355e-07
182.83749999999998,3.84049596e-09,0.00384049596,6.098802525579211e-07
183.46609999999998,3.443612208e-09,0.003443612208,6.119770364603367e-07
183.99419999999998,3.307195144e-09,0.003307195144,6.137385884470782e-07
184.50349999999997,3.510178868e-09,0.0035101788679999997,6.154374303839223e-07
185.1794,2.950275952e-09,0.002950275952,6.176919901033667e-07
185.668,3.242359712e-09,0.003242359712,6.19321784272505e-07
186.29500000000002,2.597356064e-09,0.0025973560639999996,6.214132311493974e-07
186.8958,3.40871068e-09,0.00340871068,6.234172842333479e-07
187.459,3.527682676e-09,0.003527682676,6.252959172175039e-07
188.1769,3.79356804e-09,0.0037935680399999996,6.276905738569313e-07
188.98579999999998,2.17715182e-09,0.0021771518199999998,6.303887738229891e-07
189.62290000000002,3.011900264e-09,0.003011900264,6.325139106734967e-07
190.2314,2.979465816e-09,0.002979465816,6.345436481927775e-07
190.8317,3.085556308e-09,0.003085556308,6.365460334562519e-07
191.4443,2.503519804e-09,0.0025035198040000003,6.385894471034358e-07
192.16660000000002,3.8710728e-09,0.0038710727999999995,6.409987805630521e-07
192.8263,2.506000768e-09,0.002506000768,6.431993028990743e-07
193.45600000000002,2.966956688e-09,0.002966956688,6.452997560065371e-07
194.0924,2.654710512e-09,0.002654710512,6.474225579083781e-07
194.7717,3.182293968e-09,0.003182293968,6.496884588070592e-07
195.3286,2.7117499e-09,0.0027117498999999997,6.515460772532176e-07
195.97910000000002,2.857704204e-09,0.002857704204,6.537159116924816e-07
196.54919999999998,3.44290448e-09,0.00344290448,6.556175605992062e-07
197.0786,3.066168548e-09,0.003066168548,6.573834489191853e-07
197.70690000000002,3.272178272e-09,0.003272178272,6.594792321293153e-07
198.2482,2.958401296e-09,0.002958401296,6.612848145766229e-07
